customer_id,region,data_usage_mb_2_months_ago,data_usage_mb_last_month,data_usage_mb_this_month,days_since_recharge,complaints_last_30_days,plan_type,account_age_months,churn_risk
C-00374,Lahore Central,5750,5490,1991,81,4,prepaid,46,high
C-02026,Lahore South,4951,5026,1345,51,2,postpaid,28,high
C-02074,Lahore North,7933,7863,2565,59,5,postpaid,18,high
C-01209,Lahore North,5609,5109,1243,87,3,postpaid,47,high
C-00222,Lahore South,5851,5016,1391,46,2,postpaid,53,high
C-03405,Lahore Central,4234,4486,4582,15,0,postpaid,54,low
C-00005,Lahore North,3273,2901,1023,35,5,prepaid,25,high
C-02583,Lahore South,7272,6917,1586,62,4,postpaid,54,high
C-00641,Lahore Central,6204,6282,2357,46,5,postpaid,39,high
C-03203,Lahore Central,2266,2295,2230,3,1,postpaid,6,low
C-04375,Lahore North,3429,3475,3626,16,1,postpaid,53,low
C-02732,Lahore Central,2027,1761,673,82,2,postpaid,55,high
C-04322,Lahore Central,5751,6002,5724,15,0,prepaid,24,low
C-01988,Lahore Central,7785,6863,1767,67,2,postpaid,14,high
C-03155,Lahore South,2761,2612,993,69,2,prepaid,14,high
C-00861,Lahore North,5765,5645,1456,41,2,postpaid,45,high
C-03486,Lahore Central,5028,5259,5454,2,1,postpaid,22,low
C-01418,Lahore South,5786,5576,1504,71,5,prepaid,8,high
C-03022,Lahore Central,2975,2734,548,84,2,postpaid,39,high
C-03800,Lahore North,2629,2597,2595,6,0,postpaid,17,low
C-03420,Lahore North,3399,3583,3639,4,1,postpaid,24,low
C-03984,Lahore Central,3952,3770,3858,10,1,prepaid,22,low
C-04439,Lahore North,4478,4650,4756,9,1,postpaid,7,low
C-02571,Lahore North,7342,6823,2374,84,2,prepaid,11,high
C-02515,Lahore South,2985,2766,1040,63,3,postpaid,35,high
C-04118,Lahore South,6205,6174,6293,15,0,prepaid,55,low
C-02429,Lahore Central,4484,4028,1224,54,5,postpaid,12,high
C-02889,Lahore South,6763,6365,1951,48,2,postpaid,21,high
C-03595,Lahore Central,7208,7227,7071,12,1,prepaid,34,low
C-02850,Lahore North,7262,6276,2322,83,3,prepaid,26,high
C-02872,Lahore North,3555,3115,938,42,3,prepaid,9,high
C-00107,Lahore North,5690,5503,1617,44,4,postpaid,47,high
C-00270,Lahore Central,5935,5216,1699,79,5,prepaid,55,high
C-02393,Lahore North,3605,3394,1338,31,5,postpaid,27,high
C-00815,Lahore South,6900,5992,2173,50,5,prepaid,8,high
C-01629,Lahore South,2822,2845,1020,42,2,prepaid,18,high
C-03322,Lahore North,4579,4725,4668,14,0,postpaid,56,low
C-02365,Lahore North,6292,6069,1532,42,3,postpaid,17,high
C-04671,Lahore Central,4528,4230,4127,3,1,prepaid,52,low
C-04410,Lahore South,2316,2239,2150,18,0,postpaid,53,low
C-04260,Lahore North,5701,5367,5227,5,0,prepaid,48,low
C-00970,Lahore South,6536,6317,1986,65,3,prepaid,28,high
C-00992,Lahore North,2687,2427,630,87,5,postpaid,45,high
C-03742,Lahore South,4819,5089,4880,5,0,prepaid,26,low
C-01141,Lahore Central,5210,4600,995,81,2,prepaid,47,high
C-02210,Lahore Central,3194,2900,882,64,3,postpaid,51,high
C-04474,Lahore North,3754,3875,4026,14,1,prepaid,9,low
C-00387,Lahore South,6413,5634,2229,48,4,prepaid,11,high
C-01257,Lahore Central,3006,2999,767,78,3,postpaid,31,high
C-03638,Lahore Central,4093,3999,4014,12,1,postpaid,31,low
C-00614,Lahore North,6199,5310,1669,40,4,prepaid,36,high
C-04834,Lahore North,3659,3911,3859,16,1,postpaid,3,low
C-04015,Lahore Central,5839,6220,5937,1,1,postpaid,30,low
C-00301,Lahore South,2493,2515,537,32,4,postpaid,14,high
C-03272,Lahore North,2035,1899,1929,1,1,postpaid,29,low
C-04709,Lahore Central,6885,6695,6622,9,1,postpaid,39,low
C-04922,Lahore North,4289,4453,4354,6,1,postpaid,24,low
C-00499,Lahore Central,7337,6747,1376,30,5,prepaid,44,high
C-04182,Lahore Central,4301,4021,4123,4,0,prepaid,22,low
C-04807,Lahore South,3959,4254,4107,8,0,prepaid,31,low
C-02645,Lahore South,7625,6506,1728,75,5,postpaid,6,high
C-00406,Lahore Central,7280,6292,1954,76,4,prepaid,57,high
C-00543,Lahore South,3285,3074,903,85,3,prepaid,51,high
C-00971,Lahore Central,4157,3883,1530,73,4,postpaid,23,high
C-02410,Lahore Central,3590,3238,1051,87,2,prepaid,33,high
C-02223,Lahore South,2779,2822,997,86,2,prepaid,39,high
C-01437,Lahore South,2850,2465,501,36,5,prepaid,43,high
C-02088,Lahore Central,2547,2585,856,56,2,prepaid,17,high
C-03377,Lahore South,7597,7059,6756,12,1,postpaid,9,low
C-01123,Lahore South,7179,6361,2341,32,3,prepaid,22,high
C-00541,Lahore Central,4771,4476,1511,36,5,prepaid,33,high
C-04238,Lahore South,2199,2235,2239,18,1,postpaid,8,low
C-03735,Lahore North,7891,8171,8472,14,1,prepaid,14,low
C-01039,Lahore Central,5541,5403,2076,68,3,postpaid,45,high
C-01505,Lahore Central,2896,2483,505,48,3,prepaid,51,high
C-01304,Lahore North,5552,5076,1993,34,4,prepaid,37,high
C-00031,Lahore South,5675,4958,1173,45,2,postpaid,54,high
C-03346,Lahore South,5186,4818,5023,14,0,prepaid,38,low
C-00732,Lahore Central,3912,3457,949,84,2,prepaid,50,high
C-03339,Lahore North,6593,7037,6911,13,1,postpaid,42,low
C-04140,Lahore Central,6206,6230,6265,20,0,prepaid,20,low
C-02212,Lahore North,6197,6084,1706,42,5,prepaid,50,high
C-03696,Lahore North,4887,5174,5096,18,1,prepaid,44,low
C-03268,Lahore North,7465,7990,7698,11,0,prepaid,36,low
C-02479,Lahore Central,7910,8019,2295,31,5,prepaid,11,high
C-04499,Lahore Central,4872,5085,5231,7,0,postpaid,13,low
C-03021,Lahore North,3960,3765,1213,63,2,prepaid,19,high
C-04746,Lahore South,3944,4207,4007,20,1,postpaid,53,low
C-01645,Lahore Central,6386,5643,1305,55,3,postpaid,54,high
C-00238,Lahore South,2964,2651,668,43,4,postpaid,15,high
C-02835,Lahore North,2012,1947,707,48,4,postpaid,31,high
C-02346,Lahore Central,3768,3401,1321,44,3,postpaid,45,high
C-04363,Lahore South,7927,7788,7795,9,0,prepaid,16,low
C-04340,Lahore Central,5285,5443,5209,13,1,prepaid,31,low
C-02065,Lahore North,7684,7700,1830,87,2,postpaid,12,high
C-00260,Lahore South,6894,6893,2280,48,2,prepaid,30,high
C-02055,Lahore South,5870,5532,1519,76,3,postpaid,50,high
C-02496,Lahore South,5600,5637,2072,57,3,prepaid,25,high
C-00630,Lahore Central,5281,5194,1870,74,2,prepaid,27,high
C-00061,Lahore Central,2003,1806,437,68,4,postpaid,31,high
C-00108,Lahore South,5719,4930,1216,80,3,postpaid,10,high
C-00175,Lahore Central,5515,5480,2164,69,2,postpaid,4,high
C-02076,Lahore Central,5363,4645,1564,85,2,postpaid,7,high
C-00956,Lahore Central,6044,5256,1349,77,4,postpaid,17,high
C-00433,Lahore Central,2695,2556,769,82,5,prepaid,40,high
C-00257,Lahore Central,3308,3269,1264,50,3,prepaid,34,high
C-02612,Lahore South,7784,6735,2354,48,5,prepaid,53,high
C-02411,Lahore Central,6907,6439,1348,83,4,prepaid,20,high
C-02801,Lahore Central,3812,3295,805,65,4,prepaid,59,high
C-03421,Lahore South,7178,6652,6880,15,0,postpaid,11,low
C-01174,Lahore North,3662,3394,837,49,5,postpaid,39,high
C-04196,Lahore South,4301,4260,4451,15,1,postpaid,52,low
C-01786,Lahore North,6380,6341,1950,81,2,postpaid,39,high
C-04745,Lahore South,2249,2252,2170,10,1,postpaid,5,low
C-00682,Lahore North,6357,6277,1773,41,3,postpaid,10,high
C-02699,Lahore South,5988,5104,1077,65,4,postpaid,56,high
C-04880,Lahore South,7436,7138,6984,3,1,prepaid,45,low
C-03211,Lahore North,4976,4905,5092,11,0,prepaid,48,low
C-02175,Lahore North,3353,3359,893,67,2,prepaid,42,high
C-03979,Lahore Central,2850,2723,2660,16,1,prepaid,28,low
C-04078,Lahore South,7703,7170,7434,13,1,prepaid,58,low
C-00589,Lahore Central,6547,5722,1192,68,5,prepaid,22,high
C-04986,Lahore South,6341,5962,6046,2,0,postpaid,57,low
C-01458,Lahore Central,6965,5955,1218,78,3,prepaid,58,high
C-02474,Lahore North,2796,2485,722,47,3,postpaid,25,high
C-04915,Lahore North,2325,2241,2274,12,1,prepaid,8,low
C-04780,Lahore Central,4107,4030,4074,20,1,prepaid,8,low
C-00392,Lahore Central,2763,2691,784,74,4,prepaid,53,high
C-03480,Lahore South,3034,2896,2804,10,1,postpaid,30,low
C-01507,Lahore South,4873,4962,1247,46,4,postpaid,3,high
C-00317,Lahore North,5039,4362,1504,33,4,postpaid,46,high
C-02277,Lahore Central,3035,2703,568,64,2,prepaid,37,high
C-04800,Lahore North,2312,2261,2176,17,1,postpaid,32,low
C-03573,Lahore North,7653,7796,7476,4,1,postpaid,13,low
C-03289,Lahore Central,4013,4264,4392,10,1,postpaid,10,low
C-01261,Lahore South,7730,7760,2691,68,3,prepaid,58,high
C-03732,Lahore North,7605,7264,7230,14,0,postpaid,14,low
C-04049,Lahore Central,6152,5992,6257,1,0,prepaid,41,low
C-04763,Lahore Central,6755,6313,6314,2,1,prepaid,8,low
C-00606,Lahore South,7477,6618,2525,54,5,postpaid,59,high
C-02721,Lahore North,3962,3615,1241,47,3,postpaid,10,high
C-01036,Lahore North,2398,2365,606,77,2,postpaid,8,high
C-00472,Lahore Central,3945,3417,951,83,5,prepaid,6,high
C-03881,Lahore Central,5452,5083,5133,17,1,postpaid,8,low
C-01203,Lahore South,2861,2677,952,58,3,postpaid,16,high
C-04563,Lahore South,3620,3617,3768,12,0,prepaid,21,low
C-01347,Lahore Central,6930,6032,1914,82,3,prepaid,48,high
C-00997,Lahore Central,6829,5869,1799,37,4,postpaid,33,high
C-03923,Lahore North,4418,4301,4473,11,0,prepaid,43,low
C-01085,Lahore South,7314,6719,1608,35,2,postpaid,27,high
C-02666,Lahore South,4089,3566,992,36,5,postpaid,14,high
C-01134,Lahore Central,7230,6632,2480,62,5,prepaid,38,high
C-01659,Lahore Central,5302,5062,1491,83,3,prepaid,52,high
C-00111,Lahore South,5839,5646,1919,62,5,postpaid,8,high
C-02939,Lahore South,6332,5963,1955,87,2,postpaid,3,high
C-01871,Lahore South,7814,7560,2713,44,2,prepaid,49,high
C-02203,Lahore North,4693,4505,1753,36,3,postpaid,13,high
C-01675,Lahore South,6278,5963,2106,66,4,postpaid,16,high
C-00571,Lahore North,5820,5649,1304,89,4,prepaid,52,high
C-03504,Lahore Central,5239,5507,5376,3,0,prepaid,44,low
C-02369,Lahore Central,5456,4858,1470,50,3,postpaid,34,high
C-02910,Lahore North,2050,1912,413,48,4,postpaid,16,high
C-02458,Lahore North,5770,4969,1823,43,2,prepaid,52,high
C-04889,Lahore Central,2954,2925,2957,12,1,prepaid,39,low
C-03718,Lahore North,4204,4137,3998,2,1,prepaid,20,low
C-03850,Lahore Central,7687,7327,7668,14,1,prepaid,59,low
C-03352,Lahore North,7162,6918,7075,16,1,prepaid,11,low
C-03122,Lahore South,2871,2812,1032,71,5,postpaid,41,high
C-04005,Lahore North,6007,6285,6314,11,1,postpaid,51,low
C-04469,Lahore South,4549,4485,4663,17,1,postpaid,48,low
C-04369,Lahore Central,3359,3131,3086,14,0,prepaid,6,low
C-04839,Lahore South,2026,2054,1965,19,0,prepaid,44,low
C-03173,Lahore Central,4499,4530,1687,85,4,postpaid,8,high
C-02040,Lahore North,6186,5283,1069,85,4,prepaid,34,high
C-01536,Lahore Central,3198,3064,726,72,3,prepaid,35,high
C-04406,Lahore North,6784,6751,6454,15,0,prepaid,13,low
C-04559,Lahore Central,3014,2788,2651,17,1,postpaid,49,low
C-01568,Lahore South,5587,4861,1570,52,3,postpaid,30,high
C-04209,Lahore Central,6309,6183,6077,8,0,postpaid,45,low
C-02205,Lahore South,3342,3046,1075,49,2,prepaid,12,high
C-01494,Lahore Central,3737,3272,983,51,2,postpaid,20,high
C-00148,Lahore South,5947,6032,1562,81,2,postpaid,7,high
C-01040,Lahore South,2787,2763,835,58,5,postpaid,20,high
C-01383,Lahore North,5391,5133,1680,81,3,postpaid,29,high
C-01823,Lahore Central,5499,4814,1786,73,4,postpaid,44,high
C-00321,Lahore Central,4634,4549,1256,71,4,postpaid,19,high
C-00365,Lahore Central,5407,5442,1181,39,4,postpaid,24,high
C-04982,Lahore North,5472,5720,5684,12,0,postpaid,45,low
C-04371,Lahore South,3279,3094,3204,5,1,postpaid,45,low
C-03838,Lahore North,5684,5473,5385,19,1,prepaid,51,low
C-03491,Lahore Central,7792,8109,8018,5,1,prepaid,24,low
C-03931,Lahore Central,5189,5321,5082,5,0,prepaid,59,low
C-00731,Lahore South,4864,4643,1848,69,3,postpaid,5,high
C-02197,Lahore Central,6840,6073,1536,84,2,prepaid,45,high
C-00933,Lahore South,7455,7468,2116,88,3,prepaid,10,high
C-02241,Lahore Central,4893,4315,1437,45,5,postpaid,20,high
C-04865,Lahore North,2607,2779,2826,10,1,prepaid,25,low
C-03854,Lahore South,7759,7805,7545,15,0,postpaid,5,low
C-04324,Lahore South,7010,6486,6444,6,0,postpaid,14,low
C-03602,Lahore South,5177,5428,5245,13,1,prepaid,30,low
C-03666,Lahore North,5173,5465,5562,5,0,prepaid,8,low
C-00480,Lahore North,2646,2426,899,62,3,prepaid,51,high
C-02427,Lahore North,2948,2906,1085,43,2,postpaid,24,high
C-04963,Lahore Central,5297,4962,4934,16,0,postpaid,9,low
C-00518,Lahore North,7543,6416,2224,74,4,postpaid,11,high
C-03822,Lahore South,5013,4617,4663,14,1,prepaid,10,low
C-00911,Lahore North,6646,5798,2074,80,4,prepaid,33,high
C-03463,Lahore North,5611,5607,5570,17,0,prepaid,47,low
C-01818,Lahore North,6708,6082,1298,66,2,prepaid,37,high
C-01923,Lahore South,4624,4036,1423,70,5,postpaid,30,high
C-02102,Lahore Central,2745,2655,1048,63,2,postpaid,43,high
C-02504,Lahore North,6965,6546,1954,71,2,prepaid,32,high
C-01623,Lahore North,2325,2355,725,30,5,prepaid,26,high
C-00346,Lahore Central,3085,2668,763,65,5,prepaid,4,high
C-02189,Lahore South,5406,4680,1755,39,2,prepaid,18,high
C-02261,Lahore Central,7644,6857,1600,76,2,postpaid,55,high
C-04595,Lahore North,5181,5257,5430,14,1,postpaid,46,low
C-00352,Lahore South,5241,4750,1539,58,4,postpaid,55,high
C-01664,Lahore South,5584,5572,1241,61,3,postpaid,11,high
C-03896,Lahore Central,7523,7147,6890,12,0,postpaid,60,low
C-02252,Lahore South,5940,5244,1162,76,5,postpaid,47,high
C-00157,Lahore South,5009,4721,1867,33,5,postpaid,15,high
C-04608,Lahore South,3160,3214,3141,5,0,postpaid,42,low
C-03406,Lahore Central,5817,6267,6317,9,0,postpaid,29,low
C-02911,Lahore Central,2832,2487,909,33,2,prepaid,28,high
C-00545,Lahore Central,3925,3388,978,58,2,postpaid,31,high
C-01957,Lahore Central,7925,7450,1856,42,3,postpaid,60,high
C-00400,Lahore South,7698,6992,1567,74,3,postpaid,7,high
C-01293,Lahore North,3699,3751,1423,85,3,prepaid,38,high
C-03181,Lahore North,4335,4161,847,69,2,prepaid,50,high
C-00314,Lahore South,4456,4072,1428,45,3,postpaid,57,high
C-03904,Lahore Central,2842,2928,3038,15,0,prepaid,56,low
C-02178,Lahore Central,5787,5515,1389,79,2,postpaid,41,high
C-02341,Lahore South,6277,5650,1734,67,5,prepaid,12,high
C-03128,Lahore South,6475,5531,1185,86,2,prepaid,54,high
C-03443,Lahore North,7443,7606,7409,1,0,postpaid,57,low
C-01199,Lahore North,7829,7709,2144,56,3,prepaid,60,high
C-01381,Lahore Central,2551,2217,632,47,3,prepaid,23,high
C-00453,Lahore Central,3423,3012,959,74,4,prepaid,48,high
C-04353,Lahore South,3217,3138,3071,6,0,prepaid,5,low
C-01503,Lahore North,7456,6939,1851,46,2,prepaid,46,high
C-02800,Lahore South,7782,7091,1841,74,4,postpaid,27,high
C-01270,Lahore North,6851,6914,2412,66,4,prepaid,57,high
C-04502,Lahore Central,5869,5489,5259,18,0,prepaid,56,low
C-03051,Lahore North,3385,2971,783,77,3,postpaid,45,high
C-03423,Lahore Central,2366,2294,2404,7,0,prepaid,22,low
C-02491,Lahore South,3877,3514,1383,53,4,postpaid,22,high
C-02104,Lahore South,4655,4674,1463,49,3,postpaid,36,high
C-02876,Lahore North,7200,7220,2221,84,4,prepaid,52,high
C-03805,Lahore Central,4281,4622,4491,5,0,postpaid,52,low
C-01195,Lahore Central,3684,3325,1208,60,3,postpaid,40,high
C-02950,Lahore Central,4036,4088,1253,60,4,prepaid,44,high
C-00778,Lahore Central,7641,7280,2603,48,5,postpaid,19,high
C-02907,Lahore Central,2064,1870,454,71,4,postpaid,53,high
C-03039,Lahore South,6587,6663,2067,36,2,postpaid,7,high
C-02505,Lahore South,6835,6319,1415,54,4,prepaid,29,high
C-02639,Lahore North,4487,4552,1199,54,4,postpaid,11,high
C-04399,Lahore South,5575,6003,5778,16,1,prepaid,30,low
C-00906,Lahore North,5200,5213,1343,36,3,postpaid,10,high
C-02150,Lahore North,5166,5170,1935,68,4,postpaid,55,high
C-02861,Lahore South,5858,5838,1688,67,4,prepaid,44,high
C-01934,Lahore Central,7352,7169,1824,30,5,postpaid,27,high
C-00607,Lahore North,2380,2039,672,75,4,postpaid,40,high
C-03060,Lahore South,4103,3888,911,72,4,postpaid,44,high
C-03828,Lahore Central,4617,4703,4553,19,0,prepaid,43,low
C-00375,Lahore North,3097,2797,692,41,4,prepaid,35,high
C-03925,Lahore South,3490,3357,3329,10,1,postpaid,31,low
C-04686,Lahore South,4749,4603,4657,16,0,prepaid,49,low
C-04767,Lahore Central,6716,7205,7481,18,1,prepaid,8,low
C-00784,Lahore Central,4730,4294,1480,31,3,prepaid,24,high
C-03992,Lahore South,7764,7336,7518,19,0,postpaid,31,low
C-03340,Lahore South,6863,7030,6860,16,0,prepaid,17,low
C-01884,Lahore South,4855,4771,1118,84,2,postpaid,25,high
C-04249,Lahore Central,3313,3241,3259,6,0,prepaid,4,low
C-02370,Lahore North,6473,6133,1649,42,3,postpaid,7,high
C-02838,Lahore Central,7014,6875,1805,58,5,postpaid,42,high
C-04025,Lahore North,6463,6093,6026,15,1,prepaid,10,low
C-01484,Lahore South,3002,2817,698,72,5,postpaid,23,high
C-01828,Lahore North,3124,3121,1213,83,5,prepaid,31,high
C-03981,Lahore South,3184,3202,3351,18,0,postpaid,34,low
C-04954,Lahore South,7420,7290,7027,9,1,prepaid,52,low
C-03704,Lahore Central,2342,2159,2256,7,0,prepaid,54,low
C-01765,Lahore North,6941,6423,1595,59,2,postpaid,58,high
C-03515,Lahore Central,5311,5664,5946,3,0,prepaid,21,low
C-04239,Lahore Central,4735,4596,4526,2,1,prepaid,52,low
C-03425,Lahore Central,4643,4903,4755,15,0,postpaid,43,low
C-01093,Lahore North,4028,3495,1059,82,4,postpaid,9,high
C-01854,Lahore North,5992,5879,1712,72,4,postpaid,7,high
C-01626,Lahore North,5541,5174,1124,47,2,postpaid,54,high
C-00149,Lahore Central,3153,3084,755,76,5,postpaid,8,high
C-04667,Lahore Central,6525,6844,6987,9,0,prepaid,42,low
C-04516,Lahore Central,6751,6453,6153,2,0,postpaid,35,low
C-04975,Lahore South,5008,5083,5285,2,0,prepaid,20,low
C-00562,Lahore North,2104,1975,404,33,2,prepaid,20,high
C-01074,Lahore South,4393,4262,1501,76,2,prepaid,44,high
C-00295,Lahore South,6880,6869,1486,63,4,prepaid,39,high
C-03083,Lahore North,7335,6555,2449,81,3,prepaid,59,high
C-00884,Lahore Central,2902,2627,576,56,3,postpaid,60,high
C-01865,Lahore North,3306,3173,882,45,4,prepaid,17,high
C-04810,Lahore South,2181,2152,2075,11,1,postpaid,12,low
C-00844,Lahore South,7341,7311,1951,81,2,postpaid,44,high
C-00796,Lahore South,7628,7583,2838,59,2,prepaid,36,high
C-03362,Lahore North,7045,6806,7100,9,0,prepaid,47,low
C-00126,Lahore Central,4445,4411,1393,61,3,postpaid,37,high
C-03843,Lahore North,3117,3142,3283,9,1,postpaid,45,low
C-01970,Lahore North,5120,4763,1406,67,4,postpaid,40,high
C-04517,Lahore Central,4222,4285,4358,14,1,postpaid,37,low
C-04704,Lahore South,6763,6689,6489,13,1,postpaid,44,low
C-04515,Lahore North,2382,2500,2496,17,1,postpaid,51,low
C-00491,Lahore South,5414,5158,1123,43,5,postpaid,51,high
C-04805,Lahore North,5507,5134,5182,5,0,postpaid,38,low
C-01358,Lahore North,2422,2323,580,64,2,prepaid,44,high
C-04665,Lahore Central,7796,7195,7237,8,1,postpaid,43,low
C-01170,Lahore Central,7958,6874,2021,69,2,prepaid,35,high
C-04496,Lahore North,5645,5204,5233,5,1,postpaid,31,low
C-02829,Lahore Central,2405,2397,711,32,3,prepaid,25,high
C-00582,Lahore North,5761,5598,1162,33,3,postpaid,38,high
C-01952,Lahore North,7215,6690,2568,59,4,prepaid,12,high
C-00101,Lahore South,2100,1989,584,51,3,prepaid,19,high
C-03820,Lahore South,6458,6044,6219,9,0,postpaid,51,low
C-01521,Lahore Central,2803,2808,1078,49,3,postpaid,46,high
C-00425,Lahore North,6112,5894,1240,81,2,postpaid,7,high
C-03287,Lahore Central,4222,4369,4421,12,0,prepaid,28,low
C-01682,Lahore South,4995,4972,1760,76,5,prepaid,42,high
C-01053,Lahore Central,7052,6426,2151,73,5,postpaid,8,high
C-02656,Lahore South,6149,5865,2313,34,2,postpaid,43,high
C-00808,Lahore South,5993,5124,1511,60,5,prepaid,21,high
C-04718,Lahore South,7680,7686,8054,19,0,prepaid,43,low
C-02927,Lahore North,7414,6569,1743,60,2,prepaid,35,high
C-00212,Lahore North,2840,2757,835,48,2,prepaid,20,high
C-01689,Lahore Central,2236,2133,730,77,3,prepaid,8,high
C-01647,Lahore Central,2164,2117,646,55,5,prepaid,13,high
C-03977,Lahore South,3873,4038,4084,8,0,postpaid,47,low
C-01135,Lahore Central,3587,3451,1080,68,3,prepaid,40,high
C-02316,Lahore North,3709,3669,1465,67,2,postpaid,52,high
C-03414,Lahore South,3096,3252,3098,1,1,postpaid,48,low
C-03309,Lahore North,5982,6281,6536,7,1,postpaid,6,low
C-00813,Lahore Central,7428,7159,2490,66,5,prepaid,40,high
C-03703,Lahore Central,6953,6631,6378,1,1,prepaid,59,low
C-04431,Lahore Central,7446,7011,7102,9,1,prepaid,4,low
C-04168,Lahore South,3838,4081,3994,13,1,postpaid,57,low
C-00438,Lahore North,5795,5186,1161,81,4,prepaid,16,high
C-01763,Lahore South,5023,4886,1211,89,3,postpaid,11,high
C-02127,Lahore Central,5847,5924,1998,45,2,postpaid,48,high
C-04690,Lahore Central,6842,6615,6424,7,1,postpaid,20,low
C-04814,Lahore North,2622,2736,2864,17,0,postpaid,32,low
C-01486,Lahore North,3985,3834,1330,74,2,prepaid,34,high
C-02707,Lahore Central,7517,6582,2210,70,2,postpaid,41,high
C-00900,Lahore Central,4750,4631,976,53,2,prepaid,27,high
C-03942,Lahore Central,5059,4823,4792,17,1,postpaid,37,low
C-02503,Lahore Central,7001,6675,1385,49,5,postpaid,53,high
C-02542,Lahore North,5458,5211,1603,74,5,postpaid,22,high
C-01944,Lahore North,4868,4520,1719,55,5,prepaid,21,high
C-02107,Lahore Central,5790,5494,1289,76,4,prepaid,16,high
C-04894,Lahore Central,2046,2178,2249,1,0,postpaid,22,low
C-04542,Lahore Central,6336,6196,6012,5,0,prepaid,17,low
C-02616,Lahore South,7792,7791,2981,76,4,postpaid,11,high
C-03033,Lahore South,2439,2112,654,86,2,prepaid,48,high
C-03220,Lahore South,5288,5442,5410,13,0,prepaid,56,low
C-03275,Lahore Central,3338,3240,3390,7,1,postpaid,57,low
C-02924,Lahore North,6202,5771,1771,81,2,postpaid,53,high
C-00611,Lahore North,3531,3095,991,72,3,postpaid,54,high
C-03542,Lahore South,3269,3155,3166,11,0,prepaid,25,low
C-04842,Lahore North,6021,6359,6540,9,1,prepaid,47,low
C-00599,Lahore Central,3146,3150,753,86,2,prepaid,60,high
C-03912,Lahore Central,5330,5704,5908,9,1,prepaid,6,low
C-02401,Lahore Central,5068,4538,1073,55,5,postpaid,15,high
C-02049,Lahore Central,7757,7336,1560,39,3,prepaid,28,high
C-01840,Lahore North,4172,3987,820,51,2,postpaid,5,high
C-02332,Lahore South,2891,2695,995,78,3,prepaid,36,high
C-04738,Lahore North,7871,7656,7793,17,0,postpaid,57,low
C-01384,Lahore Central,6500,6074,1863,64,3,postpaid,8,high
C-03592,Lahore Central,7531,7065,7049,15,0,postpaid,43,low
C-03684,Lahore North,4526,4265,4231,16,1,postpaid,44,low
C-03631,Lahore South,7115,7273,6984,17,1,postpaid,21,low
C-02303,Lahore South,7174,6573,1780,78,4,prepaid,14,high
C-03708,Lahore South,5342,5494,5718,2,1,postpaid,53,low
C-03895,Lahore North,6070,6049,5804,7,1,prepaid,35,low
C-04046,Lahore North,5910,5828,5605,2,1,postpaid,28,low
C-04370,Lahore Central,7399,7344,7486,9,0,prepaid,59,low
C-03813,Lahore Central,7157,6902,7060,20,0,prepaid,32,low
C-03149,Lahore North,4011,3540,822,55,3,postpaid,11,high
C-02777,Lahore South,4708,4028,1133,50,3,postpaid,15,high
C-04268,Lahore North,2029,2057,2014,12,0,postpaid,55,low
C-04890,Lahore South,2487,2568,2485,19,0,prepaid,8,low
C-00738,Lahore Central,2068,1781,591,84,4,prepaid,4,high
C-03123,Lahore North,2988,3031,670,33,4,prepaid,42,high
C-02783,Lahore South,7085,7045,2593,69,5,postpaid,21,high
C-03847,Lahore South,7864,8407,8363,13,1,postpaid,29,low
C-00915,Lahore South,4593,4352,1254,41,3,prepaid,45,high
C-04298,Lahore South,3826,4084,4082,18,0,postpaid,33,low
C-01460,Lahore South,7665,7739,1961,42,2,postpaid,48,high
C-01255,Lahore South,3962,4001,1332,69,2,postpaid,58,high
C-00621,Lahore North,7401,6454,2069,87,5,postpaid,26,high
C-00669,Lahore North,3506,3489,785,72,4,prepaid,16,high
C-00391,Lahore South,4279,4142,1555,61,4,prepaid,58,high
C-03485,Lahore North,5038,5291,5324,9,1,postpaid,13,low
C-00883,Lahore North,5643,5365,1422,77,4,prepaid,52,high
C-02846,Lahore Central,5795,5584,2024,56,3,postpaid,45,high
C-01035,Lahore Central,7375,7049,2048,76,3,prepaid,58,high
C-04312,Lahore South,6891,6442,6528,1,1,postpaid,4,low
C-03446,Lahore North,5390,5334,5108,11,1,prepaid,20,low
C-03165,Lahore South,2765,2586,639,70,4,prepaid,40,high
C-03566,Lahore South,2039,2126,2077,5,1,prepaid,49,low
C-03178,Lahore North,6667,6316,2013,68,5,postpaid,13,high
C-02960,Lahore Central,5218,5283,1704,38,3,postpaid,34,high
C-01477,Lahore South,4832,4436,1380,61,2,postpaid,22,high
C-04793,Lahore Central,2346,2181,2104,17,1,postpaid,19,low
C-02172,Lahore Central,2678,2322,502,30,3,postpaid,34,high
C-04139,Lahore Central,5420,5621,5817,7,0,postpaid,56,low
C-02930,Lahore South,5256,4993,1063,44,3,postpaid,11,high
C-03857,Lahore North,4042,4053,3966,14,0,postpaid,15,low
C-02230,Lahore Central,3789,3690,831,82,3,postpaid,3,high
C-01104,Lahore North,7898,7832,1774,62,5,postpaid,45,high
C-04373,Lahore North,6489,6867,7016,3,1,postpaid,46,low
C-02466,Lahore Central,3114,3029,1006,78,5,prepaid,15,high
C-03014,Lahore Central,2357,2023,635,78,3,postpaid,41,high
C-03215,Lahore North,5894,6281,6370,20,0,postpaid,35,low
C-01523,Lahore Central,3634,3274,710,89,5,prepaid,27,high
